lat,lng,indice,dateandtime,Uso del suelo,Ganadería,Vegetación de Ribera,Vegetación de Acuática,Agua – Transparencia,Agua – Olor,Basura,Desbordado,Entubado,Agua – Aceites,Vegetación en las márgenes,Exóticas – Acacia,Exóticas – Ligustro,id,Sitio
-31.072517,-64.310188,84.3,06-09-2024,"4","0","10","10","10","10","10","10","10","10","8","0","0",3,Puente Cerro Azul
-31.072697,-64.310387,0,07-03-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Puente Cerro Azul
-31.072556,-64.310387,77.5,06-12-2024,"10","0","10","8","10","10","3","10","10","10","0","2","0",3,Puente Cerro Azul
-31.072441,-64.310074,86.7,15-04-2024,"10","0","10","8","10","10","10","10","10","10","0","10","0",3,Puente Cerro Azul
-31.072741,-64.310341,73.3,07-03-2024,"10","0","4","8","10","10","10","10","10","0","0","2","0",3,Puente Cerro Azul
-31.072643,-64.310394,90,07-03-2025,"10","0","10","8","10","10","6","10","10","10","0","0","0",3,Puente Cerro Azul
-31.072651,-64.310341,71.3,07-03-2025,"10","0","10","8","10","10","0","10","10","0","8","0","0",3,Puente Cerro Azul
-31.072605,-64.310356,66.7,07-03-2025,"10","0","10","0","10","10","0","10","10","0","8","10","0",3,Puente Cerro Azul
-31.072746,-64.310471,90,07-03-2025,"10","0","10","8","10","10","6","10","10","10","10","0","0",3,Puente Cerro Azul
-31.072527,-64.310478,89.1,07-03-2025,"10","0","10","8","10","10","6","10","10","10","8","0","0",3,Puente Cerro Azul
-31.067951,-64.303452,90,15-09-2023,"10","0","10","8","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068275,-64.303276,83.3,15-09-2023,"10","0","10","0","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068069,-64.303307,81.7,15-09-2023,"4","0","8","8","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068844,-64.301399,81.7,27-10-2023,"4","0","8","8","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068886,-64.301231,77.4,27-10-2023,"10","0","10","10","10","0","3","0","10","10","8","2","0",4,Puenta Agua de Oro
-31.068762,-64.30127,88.2,27-10-2023,"10","0","4","8","10","10","10","10","10","10","8","2","0",4,Puenta Agua de Oro
-31.068937,-64.301353,85,27-10-2023,"10","0","4","8","10","10","10","10","10","10","8","2","0",4,Puenta Agua de Oro
-31.068911,-64.301414,79.1,27-10-2023,"4","0","4","0","10","10","6","10","10","10","8","10","10",4,Puenta Agua de Oro
-31.068764,-64.301392,71.7,27-10-2023,"4","0","8","0","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068693,-64.301041,80,27-10-2023,"4","0","10","8","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.069069,-64.301208,72,27-10-2023,"2","4","10","8","10","10","10","10","10","10","10","0","0",4,Puenta Agua de Oro
-31.068857,-64.301422,73,27-10-2023,"10","0","4","0","10","10","10","0","10","10","0","0","0",4,Puenta Agua de Oro
-31.068438,-64.302299,77.4,30-05-2024,"4","0","10","8","10","10","3","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068565,-64.302391,75.8,30-05-2024,"4","0","10","8","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068663,-64.302322,72.5,30-05-2024,"4","0","10","10","10","10","3","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068205,-64.302094,75,30-05-2024,"4","0","8","8","10","10","6","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068363,-64.302284,64.2,30-05-2024,"4","0","4","10","10","10","3","10","10","10","0","2","0",4,Puenta Agua de Oro
-31.069014,-64.300598,75,30-05-2024,"4","0","8","8","10","10","6","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068554,-64.302399,69.2,30-05-2024,"4","0","10","8","10","10","5","10","10","10","0","2","2",4,Puenta Agua de Oro
-31.06852,-64.302757,75,30-05-2024,"4","0","10","10","10","10","10","10","10","10","0","2","0",4,Puenta Agua de Oro
-31.06934,-64.300766,81,22-06-2024,"7.7","3.1","7.7","3.8","7.7","7.7","7.7","7.7","7.7",NA,NA,NA,NA,4,Puenta Agua de Oro
-31.068663,-64.301407,81,22-06-2024,"7.7","7.7","7.7","3.8","7.7","7.7","7.7","7.7","7.7",NA,NA,NA,NA,4,Puenta Agua de Oro
-31.068411,-64.302322,72.5,06-09-2024,"4","0","8","8","10","10","3","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068365,-64.302574,90,06-09-2024,"10","0","10","8","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068501,-64.302399,76.7,06-09-2024,"4","0","8","10","10","10","10","10","10","10","0","2","0",4,Puenta Agua de Oro
-31.068062,-64.301819,75.8,06-09-2024,"4","0","10","10","10","10","3","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068432,-64.302299,76.7,06-09-2024,"4","0","4","10","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068518,-64.302429,81.7,06-09-2024,"4","0","10","10","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068422,-64.302216,79.2,06-09-2024,"4","0","10","10","10","10","6","10","10","10","0","10","2",4,Puenta Agua de Oro
-31.068354,-64.302231,78.3,06-09-2024,"4","0","10","10","10","10","6","10","10","10","0","10","2",4,Puenta Agua de Oro
-31.068409,-64.302376,78.3,06-09-2024,"4","0","8","8","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.06831,-64.302299,80,06-09-2024,"4","0","10","8","10","10","6","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068432,-64.30233,88.3,06-12-2024,"10","0","10","10","10","10","10","10","10","10","0","2","0",4,Puenta Agua de Oro
-31.068419,-64.302467,85,06-12-2024,"4","0","10","10","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068357,-64.30246,93.3,06-12-2024,"10","0","8","10","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068344,-64.302399,83.3,06-12-2024,"4","0","10","8","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068392,-64.302399,88.3,06-12-2024,"10","0","10","10","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068489,-64.302406,85,06-12-2024,"4","0","10","10","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.0683,-64.302589,72.5,06-12-2024,"4","0","4","10","10","10","10","10","10","10","10","0","0",4,Puenta Agua de Oro
-31.068325,-64.302444,82.6,06-12-2024,"4","0","10","8","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068434,-64.302307,84.2,06-12-2024,"10","0","10","8","10","10","3","10","10","10","8","2","0",4,Puenta Agua de Oro
-31.068369,-64.302444,80,06-12-2024,"4","0","10","8","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068455,-64.302574,80.9,06-12-2024,"4","0","10","10","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068378,-64.301971,80,07-03-2025,"4","0","8","10","10","10","10","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068497,-64.302246,91.7,07-03-2025,"10","0","10","10","10","10","6","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068428,-64.302315,82.6,07-03-2025,"4","0","10","8","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.06855,-64.302383,92.5,07-03-2025,"10","0","10","10","10","10","6","10","10","10","10","10","0",4,Puenta Agua de Oro
-31.068485,-64.302528,90,07-03-2025,"10","0","10","8","10","10","6","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068422,-64.302299,95,07-03-2025,"10","0","10","10","10","10","10","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.068331,-64.301537,87.8,07-03-2025,"10","0","10","10","10","10","6","10","10","10","0","10","0",4,Puenta Agua de Oro
-31.068506,-64.302376,88.7,07-03-2025,"10","0","10","10","10","10","3","10","10","10","8","10","0",4,Puenta Agua de Oro
-31.063171,-64.294785,74.2,30-05-2024,"4","0","10","10","10","10","10","10","10","10","0","0","0",5,Camping El Algarrobo
-31.063349,-64.29509,77.5,30-05-2024,"4","0","10","10","10","10","10","10","10","10","8","2","0",5,Camping El Algarrobo
-31.06325,-64.294868,76.7,30-05-2024,"4","0","10","8","10","10","10","10","10","10","0","10","0",5,Camping El Algarrobo
-31.063471,-64.294243,75,30-05-2024,"4","0","10","10","10","10","10","10","10","10","0","2","0",5,Camping El Algarrobo
-31.063133,-64.294876,77.5,30-05-2024,"4","0","10","10","10","10","10","10","10","10","8","2","0",5,Camping El Algarrobo
-31.063486,-64.29512,76.7,30-05-2024,"4","0","10","8","10","10","10","10","10","10","10","2","0",5,Camping El Algarrobo
-31.063047,-64.294952,76.7,06-09-2024,"4","0","10","8","10","10","10","10","10","10","0","10","0",5,Camping El Algarrobo
-31.063046,-64.294922,71.7,06-09-2024,"4","0","4","8","10","10","10","10","10","10","0","10","0",5,Camping El Algarrobo
-31.063051,-64.294945,72.5,06-09-2024,"4","0","10","8","10","10","10","10","10","10","0","2","0",5,Camping El Algarrobo
-31.063082,-64.29496,70,06-09-2024,"4","0","10","8","10","10","7","10","10","10","0","2","0",5,Camping El Algarrobo
-31.063042,-64.294907,68.3,06-09-2024,"4","0","10","10","10","10","3","10","10","10","0","2","0",5,Camping El Algarrobo
-31.063614,-64.294373,76.7,06-09-2024,"4","0","10","8","10","10","10","10","10","10","0","10","0",5,Camping El Algarrobo
-31.063015,-64.294945,76.7,06-09-2024,"4","0","10","8","10","10","10","10","10","10","8","2","2",5,Camping El Algarrobo
